999 2OM3oqQ2RbE 0 00:00:04 00:00:06 123 25 164 215 16
999 2OM3oqQ2RbE 1 00:00:06 00:00:19 123 25 164 215 3
999 2OM3oqQ2RbE 0 00:00:19 00:00:27 123 25 164 215 5
999 2OM3oqQ2RbE 1 00:00:29 00:00:34 77 19 84 154 5
999 2OM3oqQ2RbE 1 00:00:39 00:00:41 70 10 145 208 5
999 2OM3oqQ2RbE 1 00:00:41 00:00:43 70 10 145 208 5
999 2OM3oqQ2RbE 1 00:00:43 00:00:47 70 10 145 208 5
999 2OM3oqQ2RbE 0 00:00:47 00:00:51 70 10 145 208 5
999 2OM3oqQ2RbE 1 00:00:51 00:00:54 70 10 145 208 5
999 2OM3oqQ2RbE 1 00:00:51 00:00:54 70 10 145 208 5
999 2OM3oqQ2RbE 0 00:00:55 00:00:58 88 22 117 218 5
999 2OM3oqQ2RbE 1 00:00:58 00:01:04 88 22 117 218 5
999 2OM3oqQ2RbE 1 00:01:06 00:01:15 66 48 170 192 5
999 2OM3oqQ2RbE 1 00:01:31 00:01:41 100 45 108 133 5
999 2OM3oqQ2RbE 1 00:01:47 00:01:52 57 0 263 197 5
999 b_WbXpc8ASI 1 00:05:02 00:05:10 547 37 1309 981 5
999 b_WbXpc8ASI 1 00:06:27 00:06:33 487 166 1183 887 5
999 b_WbXpc8ASI 1 00:06:34 00:06:40 519 131 1265 948 5
999 b_WbXpc8ASI 1 00:06:59 00:07:04 482 261 1084 813 5
999 sf3WSCoqdo8 1 00:01:22 00:01:32
999 sf3WSCoqdo8 0 00:01:32 00:01:51
999 txjZXdu5Xiw 0 00:00:48 00:01:58
999 txjZXdu5Xiw 1 00:00:58 00:01:06
999 txjZXdu5Xiw 1 00:01:06 00:01:11
999 zICx1okhU0Y 1 00:00:02 00:00:08 23 66 838 628 5
999 zICx1okhU0Y 1 00:01:55 00:01:59 69 19 870 652 5
999 zICx1okhU0Y 0 00:01:59 00:02:04 69 19 870 652 5
999 zICx1okhU0Y 1 00:02:04 00:02:08 69 19 870 652 5
999 zICx1okhU0Y 0 00:02:08 00:02:10 69 19 870 652 5
999 zICx1okhU0Y 1 00:02:10 00:02:16 69 19 870 652 5
999 zj8wFJxaxVM 0 00:00:56 00:01:01 195 81 341 255 5
999 zj8wFJxaxVM 1 00:01:01 00:01:08 195 81 341 255 5
