"id","video_name","start_time","end_time","split_flag","action_flag"
"000","video--JIyKmeGOSU.mp4","00:01:15","00:02:05","1","0"
"000","video--JIyKmeGOSU.mp4","00:02:06","00:04:00","1","0"
"000","video-2BJHqG23sRg.mp4","00:00:00","00:01:08","1","0"
"000","video-2BJHqG23sRg.mp4","00:01:09","00:01:34","1","0"
"000","video-2WiTNsc1Tnc.mp4","00:00:10","00:00:26","1","0"
"000","video-3k6uSfNfhrc.mp4","00:01:54","00:02:05","1","0"
"000","video-3k6uSfNfhrc.mp4","00:02:07","00:02:21","1","0"
"000","video-3k6uSfNfhrc.mp4","00:02:55","00:03:31","1","0"
"000","video-4L8bOI6ers0.mp4","00:00:00","00:11:53","0","1"
"000","video-5Uhe1M6XieE.mp4","00:00:00","00:02:08","0","1"
"000","video-5k4fhs3R16w.mp4","00:00:00","00:00:46","1","0"
"000","video-5k4fhs3R16w.mp4","00:00:47","00:06:11","1","0"
"000","video-AKcQT7pSMGk.mp4","00:00:00","00:01:47","0","1"
"000","video-A_KcGe-nqjw.mp4","00:00:08","00:02:28","1","0"
"000","video-EjUlTqVXjj0.mp4","00:00:00","00:02:49","0","1"
"000","video-HNyUVi6zBAc.mp4","00:00:00","00:13:10","0","1"
"000","video-IZJwmFY4QdU.mp4","00:00:00","00:00:28","0","1"
"000","video-JZfQWhp5RFs.mp4","00:00:00","00:02:28","0","1"
"000","video-MOdHbCSGhy4.mp4","00:00:00","00:03:37","0","1"
"000","video-O4WmGxy9lC8.mp4","00:00:00","00:01:01","0","1"
"000","video-R4CYya0dGmI.mp4","00:00:00","00:08:08","0","1"
"000","video-VBdgLz8dDls.mp4","00:00:00","00:05:43","0","1"
"000","video-XdQSCBs8KPo.mp4","00:00:00","00:06:26","0","1"
"000","video-ZKQ8QiPdo00.mp4","00:00:00","00:14:01","0","1"
"000","video-eTBjeTEawR0.mp4","00:00:00","00:02:53","1","0"
"000","video-eo6TxMSCZ_8.mp4","00:00:00","00:01:19","0","1"
"000","video-evPpXY_DoGA.mp4","00:00:00","00:00:20","1","0"
"000","video-evPpXY_DoGA.mp4","00:00:21","00:00:39","1","0"
"000","video-evPpXY_DoGA.mp4","00:00:40","00:01:58","1","0"
"000","video-evPpXY_DoGA.mp4","00:01:59","00:03:02","1","0"
"000","video-evPpXY_DoGA.mp4","00:03:04","00:03:24","1","0"
"000","video-evPpXY_DoGA.mp4","00:03:26","00:04:08","1","0"
"000","video-fEYEGALJgZY.mp4","00:00:00","00:01:12","0","1"
"000","video-hZrEweU8x1M.mp4","00:00:00","00:03:07","0","1"
"000","video-kYwPNAdKTpI.mp4","00:00:00","00:01:11","1","0"
"000","video-kYwPNAdKTpI.mp4","00:01:12","00:01:56","1","0"
"000","video-kYwPNAdKTpI.mp4","00:01:57","00:03:55","1","1"
"000","video-kYwPNAdKTpI.mp4","00:03:56","00:04:07","1","0"
"000","video-mNM7xZqEXzw.mp4","00:00:06","00:01:46","1","1"
"000","video-mUiPTc9RsT8.mp4","00:00:00","00:03:44","0","1"
"000","video-nVyb6VHVdo0.mp4","00:00:00","00:00:31","0","1"
"000","video-nszun640jSQ.mp4","00:00:10","00:01:20","1","1"
"000","video-o6HozKyz2cE.mp4","00:00:00","00:01:42","0","1"
"000","video-t0-8_s0u75k.mp4","00:00:05","00:00:18","1","1"
"000","video-uXzSC13HPOg.mp4","00:00:00","00:01:01","0","1"
"000","video-wan0OOX7YBU.mp4","00:00:00","00:02:32","0","1"
"000","video-xLMAShHurRA.mp4","00:00:00","00:04:14","0","1"
