id video_name class start_time end_time x y width height fps
0 video-2EoU6EXnPuE.mp4 0 00:00:00 00:00:08 261 215 175 190 8
1 video-2EoU6EXnPuE.mp4 1 00:00:08 00:00:16 261 215 175 190 8
2 video-2EoU6EXnPuE.mp4 0 00:00:16 00:00:26 261 215 175 190 7
3 video-2gqpXl8I7mE_resize.mp4 0 00:00:02 00:00:12 228 193 129 198 7
4 video-2gqpXl8I7mE_resize.mp4 1 00:00:12 00:00:20 228 193 129 198 8
5 video-2gqpXl8I7mE_resize.mp4 1 00:00:20 00:00:27 228 193 129 198 10
6 video-2gqpXl8I7mE_resize.mp4 1 00:00:27 00:00:37 228 193 129 198 7
7 video-2gqpXl8I7mE_resize.mp4 1 00:00:37 00:00:43 228 193 129 198 11
8 video-2gqpXl8I7mE_resize.mp4 1 00:00:42 00:00:52 228 193 129 198 7
9 video-2gqpXl8I7mE_resize.mp4 0 00:00:52 00:01:02 228 193 129 198 7
10 video-3-oz1SPWiY4.mp4 0 00:01:09 00:01:19 443 232 296 401 7
11 video-3-oz1SPWiY4.mp4 1 00:01:19 00:01:35 443 232 296 401 4
12 video-3-oz1SPWiY4.mp4 0 00:01:35 00:01:45 443 232 296 401 7
13 video-4WZo39BbE3o_2.mp4 0 00:00:20 00:00:30 427 31 109 165 7
14 video-4WZo39BbE3o_2.mp4 1 00:00:30 00:00:49 427 31 109 165 4
15 video-4WZo39BbE3o_3.mp4 0 00:00:40 00:00:46 354 109 174 251 11
16 video-4WZo39BbE3o_3.mp4 1 00:00:46 00:00:50 354 109 174 251 16
17 video-4WZo39BbE3o_3.mp4 1 00:00:51 00:00:54 354 109 174 251 22
18 video-4WZo39BbE3o_3.mp4 0 00:01:09 00:01:14 81 123 204 237 13
19 video-4WZo39BbE3o_3.mp4 1 00:01:14 00:01:18 81 123 204 237 16
20 video-4WZo39BbE3o_3.mp4 1 00:01:28 00:01:31 98 79 204 281 22
21 video-4yzKIYbm6tM.mp4 0 00:00:00 00:00:06 137 45 120 172 11
22 video-4yzKIYbm6tM.mp4 1 00:00:06 00:00:14 137 45 120 172 8
23 video-4yzKIYbm6tM.mp4 0 00:00:14 00:00:20 137 45 120 172 11
