id video_name class start_time end_timex y width height original_width original_height
0 video-2EoU6EXnPuE.mp4 0 00:00:00 00:00:08 261 215 175 190 640 480
1 video-2EoU6EXnPuE.mp4 1 00:00:08 00:00:16 261 215 175 190 640 480
2 video-2EoU6EXnPuE.mp4 0 00:00:16 00:00:29 261 215 175 190 640 480
3 video-2gqpXl8I7mE_resize.mp4 0 00:00:00 00:00:12 228 193 129 198 800 600
4 video-2gqpXl8I7mE_resize.mp4 1 00:00:12 00:00:20 228 193 129 198 800 600
5 video-2gqpXl8I7mE_resize.mp4 1 00:00:20 00:00:27 228 193 129 198 800 600
6 video-2gqpXl8I7mE_resize.mp4 1 00:00:27 00:00:37 228 193 129 198 800 600
7 video-2gqpXl8I7mE_resize.mp4 1 00:00:37 00:00:43 228 193 129 198 800 600
8 video-2gqpXl8I7mE_resize.mp4 1 00:00:42 00:00:52 228 193 129 198 800 600
9 video-2gqpXl8I7mE_resize.mp4 0 00:00:52 00:01:12 228 193 129 198 800 600
10 video-3-oz1SPWiY4.mp4 0 00:00:00 00:01:19 443 232 296 401 960 720
11 video-3-oz1SPWiY4.mp4 1 00:01:19 00:01:35 443 232 296 401 960 720
12 video-3-oz1SPWiY4.mp4 0 00:01:35 00:02:18 443 232 296 401 960 720
13 video-4WZo39BbE3o_2.mp4 0 00:00:00 00:00:30 427 31 109 165 640 360
14 video-4WZo39BbE3o_2.mp4 1 00:00:30 00:00:49 427 31 109 165 640 360
15 video-4WZo39BbE3o_2.mp4 0 00:00:49 00:00:58 427 31 109 165 640 360
16 video-4WZo39BbE3o_3.mp4 0 00:00:40 00:00:46 354 109 174 251 640 360
17 video-4WZo39BbE3o_3.mp4 1 00:00:46 00:00:50 354 109 174 251 640 360
18 video-4WZo39BbE3o_3.mp4 1 00:00:51 00:00:54 354 109 174 251 640 360
19 video-4WZo39BbE3o_3.mp4 0 00:01:09 00:01:14 81 123 204 237 640 360
20 video-4WZo39BbE3o_3.mp4 1 00:01:14 00:01:18 81 123 204 237 640 360
