video_name action_flag
5_Shoplifting001_x264.mp4 1
6_Shoplifting001_x264.mp4 1
16_Shoplifting005_x264.mp4 1
69_Shoplifting010_x264.mp4 1
72_Shoplifting010_x264.mp4 1
73_Shoplifting010_x264.mp4 1
165_Shoplifting016_x264.mp4 1
169_Shoplifting018_x264.mp4 1
170_Shoplifting018_x264.mp4 1
171_Shoplifting018_x264.mp4 1
172_Shoplifting018_x264.mp4 1
209_Shoplifting022_x264.mp4 1
210_Shoplifting022_x264.mp4 1
213_Shoplifting022_x264.mp4 1
223_Shoplifting029_x264.mp4 1
226_Shoplifting031_x264.mp4 1
244_Shoplifting034_x264.mp4 1
245_Shoplifting034_x264.mp4 1
251_Shoplifting034_x264.mp4 1
267_Shoplifting040_x264.mp4 1
270_Shoplifting040_x264.mp4 1
273_Shoplifting040_x264.mp4 1
282_Shoplifting040_x264.mp4 1
295_Shoplifting040_x264.mp4 1
301_Shoplifting040_x264.mp4 1
310_Shoplifting040_x264.mp4 1
377_Shoplifting052_x264.mp4 1
380_Shoplifting052_x264.mp4 1
383_Shoplifting052_x264.mp4 1
387_Shoplifting052_x264.mp4 1
390_Shoplifting052_x264.mp4 1
401_video--cH7TGI6zUk.mp4 1
404_video-2EoU6EXnPuE.mp4 1
407_video-2OM3oqQ2RbE_resize_0.mp4 1
409_video-2OM3oqQ2RbE_resize_2.mp4 1
410_video-2OM3oqQ2RbE_resize_2.mp4 1
411_video-2OM3oqQ2RbE_resize_3.mp4 1
412_video-2gqpXl8I7mE_resize.mp4 1
413_video-2gqpXl8I7mE_resize.mp4 1
414_video-2gqpXl8I7mE_resize.mp4 1
415_video-2gqpXl8I7mE_resize.mp4 1
416_video-2gqpXl8I7mE_resize.mp4 1
417_video-2gqpXl8I7mE_resize.mp4 1
418_video-2gqpXl8I7mE_resize.mp4 1
428_video-3-oz1SPWiY4.mp4 1
429_video-3-oz1SPWiY4.mp4 1
437_video-4WZo39BbE3o_2.mp4 1
438_video-4WZo39BbE3o_2.mp4 1
441_video-4WZo39BbE3o_3.mp4 1
442_video-4yzKIYbm6tM.mp4 1
443_video-4yzKIYbm6tM.mp4 1
449_video-64zoxiMu0p8_1.mp4 1
450_video-64zoxiMu0p8_1.mp4 1
451_video-64zoxiMu0p8_1.mp4 1
452_video-64zoxiMu0p8_1.mp4 1
456_video-64zoxiMu0p8_1.mp4 1
457_video-64zoxiMu0p8_1.mp4 1
